Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.4141,-119.84898,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://www.pacbiztimes.com/wp-content/uploads/2020/09/ucsb-campus-storke-bike-circle-ucen-ocean.jpg
Yosemite National Park,"Yosemite National Park (/jo??s?m?ti/ yoh-SEM-?-tee)[4] is an American national park in California,[5][6] surrounded on the southeast by Sierra National Forest and on the northwest by Stanislaus National Forest.",37.86569,-119.53876,https://en.wikipedia.org/wiki/Yosemite_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg/1024px-Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg
